관리번호,설비번호(구),설비명,수리일자,고장내용,고장부품,불량유형,조치내용,수리처,수리시간(분),수리금액,predictions,labels
Z000000001,Z000000001,기타,2023-01-05,전착행거 대차 제작,전착행거 대차,제작불량,전착행거 대차 제작,오정수,160,,"{'고장부품': '전착행거 대차', '불량유형': '제작 불량', '조치내용': '제작'}","{'고장부품': '전착행거 대차', '불량유형': '제작불량', '조치내용': '전착행거 대차 제작'}"
Z000000001,Z000000001,기타,2023-01-05,"파렛트 바퀴 수리,잠금고리 수리","파렛트 바퀴, 잠금고리",고장,"바퀴, 잠금고리 수리",오정수,120,,"{'고장부품': '파렛트 바퀴, 잠금고리', '불량유형': '고장', '조치내용': '바퀴 수리, 잠금고리 수리'}","{'고장부품': '파렛트 바퀴, 잠금고리', '불량유형': '고장', '조치내용': '바퀴, 잠금고리 수리'}"
M000000018,ASM-006 설비이전,조립기(TQ 자동조립기),2023-01-06,코킹감지센서 단선 수리,코킹감지센서,단선,센서 수리,오정수,30,,"{'고장부품': '코킹감지센서', '불량유형': '단선', '조치내용': '수리'}","{'고장부품': '코킹감지센서', '불량유형': '단선', '조치내용': '센서 수리'}"
M000000039,ASM-030(시팅),조립기(SIDEMEMBER조립기),2023-01-06,LH부시안착후 클램프OPEN 불량 클램프하강실린더높이조정,클램프,안착 후 OPEN 불량,하강실린더 높이 조정,송명호오정수 윤동태,180,,"{'고장부품': '클램프', '불량유형': 'OPEN', '조치내용': '클램프 하강 실린더 높이 조정'}","{'고장부품': '클램프', '불량유형': '안착 후 OPEN 불량', '조치내용': '하강실린더 높이 조정'}"
M000000643,ASM-035,삼성E5D INNER COVER조립기,2023-01-06,"저항검사#16.15접점불량 단선 재납땜,리벳진동압력센서단선 수리","저항검사#16.15접점, 리벳진동압력센서",불량 단선,"재납땜, 수리",송명호윤동태,90,,"{'고장부품': '저항검사#16.15접점', '불량유형': '단선', '조치내용': '재납땜, 리벳 진동 압력 센서 단선 수리'}","{'고장부품': '저항검사#16.15접점, 리벳진동압력센서', '불량유형': '불량 단선', '조치내용': '재납땜, 수리'}"
S000000061,FOL-007,지게차전동전동지게차:생산2부팀,2023-01-06,유압호스파열 유압호스 교체,유압호스,파열,유압호스 교체,오정수,80,,"{'고장부품': '유압호스', '불량유형': '파열', '조치내용': '유압호스 교체'}","{'고장부품': '유압호스', '불량유형': '파열', '조치내용': '유압호스 교체'}"
M000000190,POP-036,파워프레스250TON PRESS (B1),2023-01-06,안전1행정기동이상 하형클램프 압력스위치 감도조정,하형클램프 압력스위치,기동이상,스위치 감도조정,송명호오정수윤동태,120,,"{'고장부품': '하형클램프 압력스위치', '불량유형': '안전1행정기동 이상', '조치내용': '감도조정'}","{'고장부품': '하형클램프 압력스위치', '불량유형': '기동이상', '조치내용': '스위치 감도조정'}"
Z000000001,Z000000001,기타,2023-01-06,"염수분무시험기 온도센서단선수리,SSR불량교체,히터 구매후 교체예정","염수분무시험기 온도센서, SSR, 히터","단선, 불량","온도센서 수리, SSR 교체, 히터 구매 후 교체 예정",송명호윤동태,180,,"{'고장부품': '온도센서', '불량유형': '단선', '조치내용': '센서 수리, SSR 불량 교체, 히터 구매 후 교체 예정'}","{'고장부품': '염수분무시험기 온도센서, SSR, 히터', '불량유형': '단선, 불량', '조치내용': '온도센서 수리, SSR 교체, 히터 구매 후 교체 예정'}"
S000000008,CLN-001,세척기자동초음파진공세척기,2023-01-09,멸매체유탱크->세척탱크 배관 막힘 수리중,멸매체유탱크 -> 세척탱크 배관,막힘,수리중,오정수외 전원,150,150.0,"{'고장부품': '지하철', '불량유형': '배관 막힘', '조치내용': '수리중'}","{'고장부품': '멸매체유탱크 -> 세척탱크 배관', '불량유형': '막힘', '조치내용': '수리중'}"
M000000044,CLN-005,세척기(컨베어 자동세척라인),2023-01-09,측멵 문짝 유리이탈 실리콘 부착 완료,측멱 문짝 유리,이탈,실리콘 부착 완료,오정수,40,,"{'고장부품': '측멘브 문짝 유리', '불량유형': '이탈', '조치내용': '실리콘 부착 완료'}","{'고장부품': '측멱 문짝 유리', '불량유형': '이탈', '조치내용': '실리콘 부착 완료'}"
Z000000001,Z000000001,기타,2023-01-09,3공장 지게차 충전기 입고 결선,지게차 충전기,입고 결선,조치 내용 정보가 부재함,송명호,100,,"{'고장부품': '지게차 충전기', '불량유형': '결선', '조치내용': '충전기 입고'}","{'고장부품': '지게차 충전기', '불량유형': '입고 결선', '조치내용': '조치 내용 정보가 부재함'}"
Z000000001,Z000000001,기타,2023-01-09,신규 대형사출동 난방기 콘센트 3곳 설치,대형사출동 난방기 콘센트,신규 설치 필요,난방기 콘센트 3곳 신규 설치,송명호윤동태,240,,"{'고장부품': '난방기 콘센트', '불량유형': '신규 대형사출동', '조치내용': '3곳 설치'}","{'고장부품': '대형사출동 난방기 콘센트', '불량유형': '신규 설치 필요', '조치내용': '난방기 콘센트 3곳 신규 설치'}"
Z000000001,Z000000001,기타,2023-01-09,자주검사대 전등 교체,자주검사대 전등,고장,전등 교체,오정수윤동태,30,,"{'고장부품': '자주검사대 전등', '불량유형': '불량', '조치내용': '전등 교체'}","{'고장부품': '자주검사대 전등', '불량유형': '고장', '조치내용': '전등 교체'}"
S000000007,CLM-001,탈수기,2023-01-10,"열매체유탱크->본탱크 순환배관 막힘 창소,열매체드레인펌프해제된것 원복",열매체유탱크->본탱크 순환배관,막힘,"창소, 열매체 드레인 펌프 해제된 것 원복",오정수윤동태,600,,"{'고장부품': '열매체유탱크->본탱크 순환배관', '불량유형': '막힘', '조치내용': '창소, 열매체드레인펌프 해제된 것 원복'}","{'고장부품': '열매체유탱크->본탱크 순환배관', '불량유형': '막힘', '조치내용': '창소, 열매체 드레인 펌프 해제된 것 원복'}"
M000000179,POP-025,파워프레스250TON PRESS (F8),2023-01-10,센터 리셋푸쉬 스위치 설치(포타블박스 측면설치),센터 리셋푸쉬 스위치,불량설치,포타블박스 측면에 재설치,윤동태,180,,"{'고장부품': '센터 리셋푸쉬 스위치', '불량유형': '설치 불량', '조치내용': '포타블박스 측면 설치'}","{'고장부품': '센터 리셋푸쉬 스위치', '불량유형': '불량설치', '조치내용': '포타블박스 측면에 재설치'}"
Z000000001,Z000000001,기타,2023-01-10,"MX5 CFM LAY-OUT 변경루 전원,에어 연결",MX5 CFM LAY-OUT,연결 문제,전원 및 에어 연결,윤동태,180,,"{'고장부품': 'MX5 CFM LAY-OUT', '불량유형': '변경', '조치내용': '전원, 에어 연결'}","{'고장부품': 'MX5 CFM LAY-OUT', '불량유형': '연결 문제', '조치내용': '전원 및 에어 연결'}"
S000000019,CNV-001,스크랩 컨베어,2023-01-11,메인파워 EOCR 트립 외부스크랩정체 제거후 재가동,메인파워 EOCR,트립,외부스크랩 정체 제거 후 재가동,보전반전원,40,,"{'고장부품': '메인파워 EOCR', '불량유형': '트립', '조치내용': '외부스크랩 정체 제거 후 재가동'}","{'고장부품': '메인파워 EOCR', '불량유형': '트립', '조치내용': '외부스크랩 정체 제거 후 재가동'}"
M000000579,HON-015,AAF 조립기 2라인,2023-01-11,NE지그 90도 회전불가 지그 lock pull open 불가 에어스피드 교정,NE지그,"90도 회전 불가, lock pull open 불가",에어스피드 교정,윤동태,60,,"{'고장부품': 'NE지그', '불량유형': '90도 회전 불가', '조치내용': '지그 lock pull open 불가에어스피드 교정'}","{'고장부품': 'NE지그', '불량유형': '90도 회전 불가, lock pull open 불가', '조치내용': '에어스피드 교정'}"
M000000586,IMM-038,유압사출기380TON,2023-01-11,제품이송 컨베어 작동이상 감속기 고착 모터 샤프트 마모 분해,"제품이송 컨베어 감속기, 모터 샤프트","작동이상, 마모",분해,윤동태,50,,"{'고장부품': '감속기 고착 모터 샤프트', '불량유형': '마모', '조치내용': '분해'}","{'고장부품': '제품이송 컨베어 감속기, 모터 샤프트', '불량유형': '작동이상, 마모', '조치내용': '분해'}"
M000000190,POP-036,파워프레스250TON PRESS (B1),2023-01-11,클램프 유압호스 누유 호스 조임,클램프 유압호스,누유,호스 조임,오정수,30,,"{'고장부품': '클램프 유압호스', '불량유형': '누유', '조치내용': '호스 조임'}","{'고장부품': '클램프 유압호스', '불량유형': '누유', '조치내용': '호스 조임'}"
Z000000001,Z000000001,기타,2023-01-11,AAF 1.2라인 LAY-OUT 변경,AAF 1.2라인,레이아웃 오류,레이아웃 변경,송명호외전원,300,,"{'고장부품': 'AAF 1.2라인', '불량유형': 'LAY-OUT', '조치내용': 'LAY-OUT 변경'}","{'고장부품': 'AAF 1.2라인', '불량유형': '레이아웃 오류', '조치내용': '레이아웃 변경'}"
M000000643,ASM-035,삼성E5D INNER COVER조립기,2023-01-12,제품감지센사 파손 교체 PRDCM12-8DN,제품감지센서,파손,PRDCM12-8DN 사용하여 센서 교체,송명호윤동태,30,60000.0,"{'고장부품': '제품감지센서', '불량유형': '파손', '조치내용': '센서 교체 (PRDCM12-8DN 사용)'}","{'고장부품': '제품감지센서', '불량유형': '파손', '조치내용': 'PRDCM12-8DN 사용하여 센서 교체'}"
M000000078,E-0302,파워프레스150TON PRESS AMP(2),2023-01-12,생산수량 간헐적 수량 누락 카운터 단자 재 조임,카운터 단자,생산 수량 간헐적 누락,카운터 단자 재 조임,윤동태,40,,"{'고장부품': '카운터 단자', '불량유형': '생산수량 간헐적 수량 누락', '조치내용': '단자 재 조임'}","{'고장부품': '카운터 단자', '불량유형': '생산 수량 간헐적 누락', '조치내용': '카운터 단자 재 조임'}"
M000000092,E-0406,파워프레스80TON PRESS (P6),2023-01-12,"주모터 정역 셀렉터 접점변경,주모터 VS ON 셀렉터 스위치 재고정",주모터 정역 셀렉터,접점 변경,주모터 VS ON 셀렉터 스위치 재고정,윤동태,40,,"{'고장부품': '주모터 정역 셀렉터', '불량유형': '접점변경', '조치내용': '주모터 VS ON 셀렉터 스위치 재고정'}","{'고장부품': '주모터 정역 셀렉터', '불량유형': '접점 변경', '조치내용': '주모터 VS ON 셀렉터 스위치 재고정'}"
M000000562,HON-004, 한온JA FAN SHROUD조립라인,2023-01-12,볼트체결기 빗트날 파손 교체,볼트체결기 빗트날,파손,교체,오정수,30,40000.0,"{'고장부품': '볼트체결기 빗트날', '불량유형': '파손', '조치내용': '교체'}","{'고장부품': '볼트체결기 빗트날', '불량유형': '파손', '조치내용': '교체'}"
M000000190,POP-036,파워프레스250TON PRESS (B1),2023-01-12,안전1행정이상 하형클램프 압력 스위치 교체,하형클램프 압력 스위치,1행정 이상,압력 스위치 교체,송영호윤동태,200,,"{'고장부품': '하형클램프 압력 스위치', '불량유형': '안전1행정 이상', '조치내용': '압력 스위치 교체'}","{'고장부품': '하형클램프 압력 스위치', '불량유형': '1행정 이상', '조치내용': '압력 스위치 교체'}"
Z000000001,Z000000001,기타,2023-01-12,AAF #1 검사기 형광등 교체,AAF #1 검사기 형광등,소모품 마모,형광등 교체,윤동태,30,,"{'고장부품': 'AF #1 검사기 형광등', '불량유형': '고장', '조치내용': '형광등 교체'}","{'고장부품': 'AAF #1 검사기 형광등', '불량유형': '소모품 마모', '조치내용': '형광등 교체'}"
Z000000001,Z000000001,기타,2023-01-12,"AAF 납품용 파렛트 내부실린더 ,볼트 교체","AAF 납품용 파렛트 내부실린더, 볼트",불명,"내부실린더, 볼트 교체",오정수,60,,"{'고장부품': 'AAF 납품용 파렛트 내부실린더, 볼트', '불량유형': '불량', '조치내용': '볼트 교체'}","{'고장부품': 'AAF 납품용 파렛트 내부실린더, 볼트', '불량유형': '불명', '조치내용': '내부실린더, 볼트 교체'}"
Z000000001,Z000000001,기타,2023-01-12,MX5 AAF 조립기 입고 설치,MX5 AAF 조립기,입고,설치,최혁진오정수,250,,"{'고장부품': 'MX5 AAF 조립기', '불량유형': '입고', '조치내용': '설치'}","{'고장부품': 'MX5 AAF 조립기', '불량유형': '입고', '조치내용': '설치'}"
Z000000001,Z000000001,기타,2023-01-12,사출 조립라인 에어건 카플러 이동,에어건 카플러,이동,사출 조립라인 이동,오정수,30,,"{'고장부품': '에어건 카플러', '불량유형': '이동', '조치내용': '에어건 카플러 이동'}","{'고장부품': '에어건 카플러', '불량유형': '이동', '조치내용': '사출 조립라인 이동'}"
Z000000001,Z000000001,기타,2023-01-12,신규 지게차 3공장->1공장 충전기 이동설치,지게차 충전기,설치위치 오류,3공장에서 1공장으로 이동설치,송명호,100,,"{'고장부품': '충전기', '불량유형': '신규 지게차', '조치내용': '이동설치'}","{'고장부품': '지게차 충전기', '불량유형': '설치위치 오류', '조치내용': '3공장에서 1공장으로 이동설치'}"
M000000039,ASM-030(시팅),조립기(SIDEMEMBER조립기),2023-01-13,"LH,RH 부시 안착 불량 실린더 전후 에어 콘트롤러 에어 조정","LH,RH 부시",안착 불량,실린더 전후 에어 콘트롤러 에어 조정,윤동태,30,,"{'고장부품': 'LH, RH 부시', '불량유형': '안착 불량', '조치내용': '실린더 전후 에어 콘트롤러 에어 조정'}","{'고장부품': 'LH,RH 부시', '불량유형': '안착 불량', '조치내용': '실린더 전후 에어 콘트롤러 에어 조정'}"
M000000643,ASM-035,삼성E5D INNER COVER조립기,2023-01-13,E5D E5S INNER COVER 조립기 모니터링 전기 콘센트 설치,E5D E5S INNER COVER 조립기 모니터링 전기 콘센트,없음,콘센트 설치,윤동태,100,,"{'고장부품': 'E5D E5S INNER COVER 조립기 모니터링 전기 콘센트', '불량유형': '설치 미비', '조치내용': '모니터링 전기 콘센트 설치'}","{'고장부품': 'E5D E5S INNER COVER 조립기 모니터링 전기 콘센트', '불량유형': '없음', '조치내용': '콘센트 설치'}"
M000000078,E-0302,파워프레스150TON PRESS AMP(2),2023-01-13,"카운터 갯수 누락발생 릴레이교체,리미트 접점 바 간격조정","카운터, 릴레이, 리미트 접점 바","갯수 누락, 간격 불량","릴레이 교체, 리미트 접점 바 간격조정",윤동태,120,,"{'고장부품': '카운터, 리미트', '불량유형': '간격조정', '조치내용': '릴레이 교체, 릴레이 갯수 누락 수정'}","{'고장부품': '카운터, 릴레이, 리미트 접점 바', '불량유형': '갯수 누락, 간격 불량', '조치내용': '릴레이 교체, 리미트 접점 바 간격조정'}"
M000000581,IPT-004,삼성IR검사기(E4L),2023-01-13,16번 저항측정 이상 콘넥트 직결 연결,16번 저항,측정 이상,콘넥트 직결 연결,송명호윤동태,120,,"{'고장부품': '16번 저항측정', '불량유형': '이상', '조치내용': '콘넥트 직결 연결'}","{'고장부품': '16번 저항', '불량유형': '측정 이상', '조치내용': '콘넥트 직결 연결'}"
Z000000001,Z000000001,기타,2023-01-13,E4L 2라인 조립대 높이수정 880->780,E4L 2라인 조립대,높이 오류,높이 수정 (880->780),오정수윤동태,130,,"{'고장부품': 'E4L 2라인 조립대', '불량유형': '높이', '조치내용': '높이 수정 (880->780)'}","{'고장부품': 'E4L 2라인 조립대', '불량유형': '높이 오류', '조치내용': '높이 수정 (880->780)'}"
Z000000001,Z000000001,기타,2023-01-13,MX AAF 신규 라인 유틸리티 연결,MX AAF 신규 라인,연결 문제,유틸리티 연결,오정수,300,,"{'고장부품': 'MX AAF 신규 라인 유틸리티', '불량유형': '연결 문제', '조치내용': '유틸리티 연결'}","{'고장부품': 'MX AAF 신규 라인', '불량유형': '연결 문제', '조치내용': '유틸리티 연결'}"
Z000000001,Z000000001,기타,2023-01-13,NE AAF 조립라인 형광등 교체 ,NE AAF 조립라인 형광등,불량,형광등 교체,오정수윤동태,40,,"{'고장부품': 'NE AAF 조립라인 형광등', '불량유형': '고장', '조치내용': '형광등 교체'}","{'고장부품': 'NE AAF 조립라인 형광등', '불량유형': '불량', '조치내용': '형광등 교체'}"
M000000040,ASM-031,조립기(IB 스위치조립기),2023-01-16,10공정 소재감지센서 동작둔함 스톰퍼 높낮이 조정,소재감지센서,동작둔함,스톰퍼 높낮이 조정,윤동태,30,,"{'고장부품': '10공정 소재감지센서', '불량유형': '동작둔함', '조치내용': '스택퍼 높낮이 조정'}","{'고장부품': '소재감지센서', '불량유형': '동작둔함', '조치내용': '스톰퍼 높낮이 조정'}"
M000000044,CLN-005,세척기(컨베어 자동세척라인),2023-01-16,세척기 측면 유리파손 임시조치 및 실리콘 마감,세척기 측면 유리,파손,임시조치 및 실리콘 마감,오정수,30,,"{'고장부품': '세척기 측면 유리', '불량유형': '파손', '조치내용': '임시조치 및 실리콘 마감'}","{'고장부품': '세척기 측면 유리', '불량유형': '파손', '조치내용': '임시조치 및 실리콘 마감'}"
M000000562,HON-004, 한온JA FAN SHROUD조립라인,2023-01-16,볼트낙하 진공솔청소 볼트체결기 청소,볼트체결기,볼트 낙하,진공 솔로 청소,송명호오정수,40,,"{'고장부품': '볼트', '불량유형': '낙하', '조치내용': '진공솔 청소 및 볼트체결기 청소'}","{'고장부품': '볼트체결기', '불량유형': '볼트 낙하', '조치내용': '진공 솔로 청소'}"
M000000562,HON-004, 한온JA FAN SHROUD조립라인,2023-01-16,자동나사체결기 나사배출실린더 센샤부이물 청소 x05f2,자동나사체결기 나사배출실린더 센샤,부이물,청소,윤동태,30,,"{'고장부품': '나사배출실린더 센서', '불량유형': '이물', '조치내용': '센서 청소 (x05f2 사용)'}","{'고장부품': '자동나사체결기 나사배출실린더 센샤', '불량유형': '부이물', '조치내용': '청소'}"
M000000238,RBT-055(시팅),로봇용접기UM용접기 1호기(13),2023-01-16,펜던트 비상스위치 해제불가 cnwps 콘넥터 적불 수리,"펜던트 비상스위치, cnwps 콘넥터","해제불가, 적불",수리,정은호윤동태세진,200,400000.0,"{'고장부품': '펜던트 비상스위치', '불량유형': '해제불가', '조치내용': 'cnwps 콘넥터 적불 수리'}","{'고장부품': '펜던트 비상스위치, cnwps 콘넥터', '불량유형': '해제불가, 적불', '조치내용': '수리'}"
Z000000001,Z000000001,기타,2023-01-16,"신규 mx5 aaf 조립기 4라인 전원,에어 연결",신규 mx5 aaf 조립기 4라인,연결 문제,"전원, 에어 연결",보전반 전원,300,,"{'고장부품': 'mx5 aaf 조립기', '불량유형': '전원, 에어 연결 문제', '조치내용': '전원, 에어 연결'}","{'고장부품': '신규 mx5 aaf 조립기 4라인', '불량유형': '연결 문제', '조치내용': '전원, 에어 연결'}"
Z000000001,Z000000001,기타,2023-01-16,신규 메니폴더 조립기 입고 이동 ,신규 메니폴더 조립기,신규 입고,이동,정은호오정수,100,,"{'고장부품': '신규 메니폴더 조립기', '불량유형': '이동', '조치내용': '이동'}","{'고장부품': '신규 메니폴더 조립기', '불량유형': '신규 입고', '조치내용': '이동'}"
M000000643,ASM-035,삼성E5D INNER COVER조립기,2023-01-17,파렛트 감지센서 파손 교체,파렛트 감지센서,파손,감지센서 교체,윤동태,50,35000.0,"{'고장부품': '파렛트 감지센서', '불량유형': '파손', '조치내용': '센서 교체'}","{'고장부품': '파렛트 감지센서', '불량유형': '파손', '조치내용': '감지센서 교체'}"
S000000008,CLN-001,세척기자동초음파진공세척기,2023-01-17,세척유펌프 이상 마그네트 트립 리셋 수리,세척유펌프,마그네트 트립,리셋 수리,오정수,30,,"{'고장부품': '세척유펌프', '불량유형': '마그네트 트립', '조치내용': '리셋 수리'}","{'고장부품': '세척유펌프', '불량유형': '마그네트 트립', '조치내용': '리셋 수리'}"
M000000093,E-0407,파워프레스600TON PRESS (L2),2023-01-17,"윤활유펌프 구동이상 카플링기어산 마모,체인 터짐 수리","윤활유펌프, 카플링기어, 체인","구동이상, 마모, 터짐",수리,보전반전원,180,,"{'고장부품': '윤활유펌프, 카플링기어산', '불량유형': '마모, 터짐', '조치내용': '수리'}","{'고장부품': '윤활유펌프, 카플링기어, 체인', '불량유형': '구동이상, 마모, 터짐', '조치내용': '수리'}"
S000000044,EDS-001(철거),전착도장,2023-01-17,탈지조 1 스팀온도 콘트롤 이상 솔밸브 단선수리,탈지조 1 스팀온도 콘트롤 솔밸브,이상 작동,솔밸브 단선 수리,윤동태,40,,"{'고장부품': '탈지조 1 스팀온도 콘트롤', '불량유형': '이상', '조치내용': '솔밸브 단선 수리'}","{'고장부품': '탈지조 1 스팀온도 콘트롤 솔밸브', '불량유형': '이상 작동', '조치내용': '솔밸브 단선 수리'}"
